Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[3]     66.1    0.00   28.75   26219         run_insert [3]
                1.68   27.06   25772/38375       leap_vdbe_execute_program [2]
                0.00    0.01   25772/25772       leap_compiler_insert_compile_compile_insert [43]
                0.00    0.00   25772/38375       leap_vdbe_state_destroy [51]
                0.00    0.00   26219/39511       leap_parser_tokenize [122]
                0.00    0.00   26219/26219       leap_parser_insert_stmt_parse_insert [142]
                0.00    0.00   26219/92439       xstrdup_view [109]
                0.00    0.00   26219/26282       catalog_find [133]
                0.00    0.00   26219/26219       leap_insert_stmt_release [141]
                0.00    0.00   26219/39511       leap_parser_tokens_release [123]
                0.00    0.00   25772/25772       leap_compiler_insert_compile_compile_insert_with_source [152]
                0.00    0.00   25772/38375       leap_vdbe_state_new [127]
                0.00    0.00   25772/25772       leap_compile_insert_ok_release [151]
-----------------------------------------------
                6.54   16.17 576562842/576562842     leap_vdbe_execute_program [2]
[4]     52.2    6.54   16.17 576562842         leap_opcode_rows_execute [4]
                1.56    1.57 4173373638/6252543042     leap_vdbe_state_set_register [7]
                2.09    0.95 4173399410/4173399410     register_in_range [10]
                2.64    0.00 4871530138/4871530138     leap_vdbe_state_cursor_is_open [11]
                2.47    0.00 4173373638/4173489708     value_clone [13]
                2.31    0.00 4173373638/4173373638     leap_storage_cursor_column [16]
                2.02    0.00 4871530138/4871530138     leap_vdbe_state_cursor_borrow [17]
                0.43    0.00 695562273/695562273     leap_storage_cursor_next [26]
                0.12    0.00 698156500/698156500     leap_vdbe_state_cursor_mut [32]
                0.00    0.00   25772/25772       leap_storage_cursor_insert_row [53]
                0.00    0.00 2568455/2568455     leap_storage_cursor_rewind [71]
-----------------------------------------------
                0.00   14.08   13229/13229       main [1]
[5]     32.4    0.00   14.08   13229         run_select [5]
                0.82   13.24   12603/38375       leap_vdbe_execute_program [2]
                0.01    0.01   13229/13229       leap_compiler_select_compile_compile_select_with_db [36]
                0.00    0.00   12603/38375       leap_vdbe_state_destroy [51]
                0.00    0.00   13229/39511       leap_parser_tokenize [122]
                0.00    0.00   13229/131333      leap_parser_select_stmt_parse_select <cycle 2> [167]
                0.00    0.00   13229/13670       text_from_cstr [161]
                0.00    0.00   13229/13229       catalog_first_schema [181]
                0.00    0.00   13229/131333      leap_select_stmt_release <cycle 1> [169]
                0.00    0.00   13229/39511       leap_parser_tokens_release [123]
                0.00    0.00   12603/38375       leap_vdbe_state_new [127]
                0.00    0.00   12603/12603       leap_compile_select_ok_release [194]
                0.00    0.00     626/626         leap_compile_error_release [202]
-----------------------------------------------
                2.24    4.49 1391376501/1391376501     leap_vdbe_execute_program [2]
[6]     15.5    2.24    4.49 1391376501         leap_opcode_core_execute [6]
                1.70    0.63 2772182681/2772182681     register_in_range [15]
                0.52    0.52 1386149474/6252543042     leap_vdbe_state_set_register [7]
                0.77    0.00 1386149474/1386149474     value_clone [23]
                0.32    0.00 1386033009/3465183037     leap_vdbe_state_get_register [22]
                0.00    0.02 2594227/2594290     open_cursor_impl [38]
                0.01    0.00 2594227/2594227     leap_vdbe_state_db [40]
                0.00    0.00     198/6945582289     leap_vdbe_state_num_registers [18]
                0.00    0.00 2594227/2594227     leap_storage_open_read_cursor [68]
                0.00    0.00 2594227/2594227     leap_vdbe_state_set_cursor [69]
                0.00    0.00 2594227/2594227     leap_vdbe_state_take_cursor [70]
                0.00    0.00 2594227/2594227     leap_storage_close_cursor [67]
                0.00    0.00   25772/25772       leap_storage_open_write_cursor [153]
-----------------------------------------------
                0.26    0.26 693019930/6252543042     leap_opcode_expr_execute [9]
                0.52    0.52 1386149474/6252543042     leap_opcode_core_execute [6]
                1.56    1.57 4173373638/6252543042     leap_opcode_rows_execute [4]
[7]     10.8    2.34    2.36 6252543042         leap_vdbe_state_set_register [7]
                2.36    0.00 1957575746/1957925339     value_release [14]
